timestamp,printerStatus,Job_Owner_ID,Job_Owner_Name,JobProgress
1761850026434,OFFLINE,,,
1761849965905,OFFLINE,,,
1761849905352,OFFLINE,,,
1761849844821,OFFLINE,,,
1761849784277,OFFLINE,,,
1761849723734,OFFLINE,,,
1761849663193,OFFLINE,,,
1761849602653,OFFLINE,,,
1761849542116,OFFLINE,,,
1761849481573,OFFLINE,,,
1761849421051,OFFLINE,,,
1761849360528,OFFLINE,,,
1761849299953,OFFLINE,,,
1761849239422,OFFLINE,,,
1761849178904,OFFLINE,,,
1761849118391,OFFLINE,,,
1761849057839,OFFLINE,,,
1761848997309,OFFLINE,,,
1761848936738,OFFLINE,,,
1761848876207,OFFLINE,,,
1761848815680,OFFLINE,,,
1761848755141,OFFLINE,,,
1761848694601,OFFLINE,,,
1761848634049,OFFLINE,,,
1761848573512,OFFLINE,,,
1761848512952,OFFLINE,,,
1761848452432,OFFLINE,,,
1761848391874,OFFLINE,,,
1761848331325,OFFLINE,,,
1761848270797,OFFLINE,,,
1761848210273,OFFLINE,,,
1761848149737,OFFLINE,,,
1761848089188,OFFLINE,,,
1761848028669,OFFLINE,,,
1761847968131,OFFLINE,,,
1761847907579,OFFLINE,,,
1761847847010,OFFLINE,,,
1761847786460,OFFLINE,,,
1761847725904,OFFLINE,,,
1761847665333,OFFLINE,,,
1761847604822,OFFLINE,,,
1761847544280,OFFLINE,,,
1761847483734,OFFLINE,,,
1761847423216,OFFLINE,,,
1761847362638,OFFLINE,,,
1761847302101,OFFLINE,,,
1761847241549,OFFLINE,,,
1761847180975,OFFLINE,,,
1761847120436,OFFLINE,,,
1761847059932,OFFLINE,,,
1761846999386,OFFLINE,,,
1761846938852,OFFLINE,,,
1761846878339,OFFLINE,,,
1761846817803,OFFLINE,,,
1761846757252,OFFLINE,,,
1761846696720,OFFLINE,,,
1761846636198,OFFLINE,,,
1761846575618,OFFLINE,,,
1761846515078,OFFLINE,,,
1761846454522,OFFLINE,,,
1761846393958,OFFLINE,,,
1761846333409,OFFLINE,,,
1761846272832,OFFLINE,,,
1761846212317,OFFLINE,,,
1761846151792,OFFLINE,,,
1761846091261,OFFLINE,,,
1761846030682,OFFLINE,,,
1761845970143,OFFLINE,,,
1761845909593,OFFLINE,,,
1761845849057,OFFLINE,,,
1761845788512,OFFLINE,,,
1761845727975,OFFLINE,,,
1761845667426,OFFLINE,,,
1761845606894,OFFLINE,,,
1761845546321,OFFLINE,,,
1761845485816,OFFLINE,,,
1761845425276,OFFLINE,,,
1761845364727,OFFLINE,,,
1761845304186,OFFLINE,,,
1761845243650,OFFLINE,,,
1761845183077,OFFLINE,,,
1761845122518,OFFLINE,,,
1761845061975,OFFLINE,,,
1761845001435,OFFLINE,,,
1761844940884,OFFLINE,,,
1761844880335,OFFLINE,,,
1761844819765,OFFLINE,,,
1761844759189,OFFLINE,,,
1761844698653,OFFLINE,,,
1761844638120,OFFLINE,,,
1761844577561,OFFLINE,,,
1761844517009,OFFLINE,,,
1761844456449,OFFLINE,,,
1761844395880,OFFLINE,,,
1761844335352,OFFLINE,,,
1761844274821,OFFLINE,,,
1761844214286,OFFLINE,,,
1761844153720,OFFLINE,,,
1761844093213,OFFLINE,,,
1761844032645,OFFLINE,,,
1761843972107,OFFLINE,,,
1761843911581,OFFLINE,,,
1761843851010,OFFLINE,,,
1761843790459,OFFLINE,,,
1761843729925,OFFLINE,,,
1761843669381,OFFLINE,,,
1761843608818,OFFLINE,,,
1761843548263,OFFLINE,,,
1761843487730,OFFLINE,,,
1761843427229,OFFLINE,,,
1761843366730,OFFLINE,,,
1761843306198,OFFLINE,,,
1761843245660,OFFLINE,,,
1761843185075,OFFLINE,,,
1761843124506,OFFLINE,,,
1761843063936,OFFLINE,,,
1761843003402,OFFLINE,,,
1761842942861,OFFLINE,,,
1761842882319,OFFLINE,,,
1761842821776,OFFLINE,,,
1761842761232,OFFLINE,,,
1761842700684,OFFLINE,,,
1761842640119,OFFLINE,,,
1761842579588,OFFLINE,,,
1761842519003,OFFLINE,,,
1761842458471,OFFLINE,,,
1761842397927,OFFLINE,,,
1761842337426,OFFLINE,,,
1761842276849,OFFLINE,,,
1761842216304,OFFLINE,,,
1761842155794,OFFLINE,,,
1761842095263,OFFLINE,,,
1761842034731,OFFLINE,,,
1761841974205,OFFLINE,,,
1761841913690,OFFLINE,,,
1761841853110,OFFLINE,,,
1761841792586,OFFLINE,,,
1761841732076,OFFLINE,,,
1761841671521,OFFLINE,,,
1761841610994,OFFLINE,,,
1761841550461,OFFLINE,,,
1761841489881,OFFLINE,,,
1761841429361,OFFLINE,,,
1761841368814,OFFLINE,,,
1761841308273,OFFLINE,,,
1761841247712,OFFLINE,,,
1761841187185,OFFLINE,,,
1761841126675,OFFLINE,,,
1761841066116,OFFLINE,,,
1761841005572,OFFLINE,,,
1761840944999,OFFLINE,,,
